;Indice_vieillissement;ratio_FILLON
638;26.3;17.72151898734177
639;48.7;13.095238095238097
640;78.8;32.142857142857146
641;88.3;26.262626262626267
642;68.9;16.7420814479638
643;71.1;22.99270072992701
644;66.3;15.53672316384181
645;75.1;12.605042016806722
646;53.1;13.86861313868613
647;41.9;21.62162162162162
648;73.1;16.150442477876105
649;237.5;24.193548387096776
650;122.2;40.0
651;44.9;13.114754098360656
652;38.0;15.151515151515152
653;53.5;43.61702127659575
654;55.3;29.268292682926827
655;69.4;32.94117647058823
656;45.0;32.8125
657;69.1;19.718309859154928
658;54.0;21.641791044776117
659;59.5;9.239130434782608
660;96.6;25.882352941176475
661;47.0;7.537688442211055
662;250.0;27.906976744186046
663;51.6;21.763085399449036
664;58.6;11.538461538461538
665;39.2;20.0
666;54.2;13.83399209486166
667;44.4;21.195652173913043
668;135.0;26.984126984126984
669;69.5;18.664047151277014
670;117.7;19.66794380587484
671;76.1;17.857142857142858
672;65.7;11.188811188811188
673;60.9;13.975749840459475
674;68.8;20.168067226890756
675;83.3;13.545816733067728
676;63.9;11.714285714285715
677;104.5;26.70807453416149
678;83.6;18.03921568627451
679;96.8;16.08300907911803
680;61.5;8.974358974358974
681;80.6;12.18274111675127
682;59.4;12.703583061889251
683;39.8;23.645320197044335
684;100.0;37.89473684210527
685;60.0;13.279678068410464
686;104.1;15.341264871634314
687;76.4;17.405063291139243
688;81.4;14.029084687767323
689;74.8;16.33986928104575
690;31.9;8.136482939632545
691;87.0;22.807017543859647
692;56.7;19.318181818181817
693;49.7;18.152350081037277
694;56.6;20.727272727272727
695;79.1;15.39313399778516
696;106.9;17.543859649122805
697;92.2;24.822695035460992
698;72.9;10.16949152542373
699;53.7;18.092105263157894
700;91.3;16.470588235294116
701;48.4;20.46678635547576
702;68.7;20.622568093385212
703;39.5;26.25
704;63.4;18.902439024390244
705;86.4;24.47129909365559
706;79.6;26.495726495726498
707;87.0;11.977715877437326
708;60.3;14.17910447761194
709;113.1;23.631123919308358
710;150.0;20.51282051282051
711;68.7;18.064516129032256
712;62.2;9.195402298850574
713;73.1;11.974299065420562
714;37.0;15.0
715;34.7;10.59190031152648
716;75.6;16.528925619834713
717;53.6;13.125
718;53.1;9.743589743589745
719;84.9;8.322942643391523
720;92.2;14.04494382022472
721;75.8;23.157894736842106
722;70.6;35.84905660377358
723;36.4;42.30769230769231
724;107.8;14.583333333333334
725;120.4;15.527950310559005
726;81.8;26.47058823529412
727;88.9;22.330097087378643
728;66.7;29.166666666666668
729;67.3;18.0
730;63.7;15.609756097560975
731;66.7;21.818181818181817
732;32.5;15.024232633279484
733;23.8;13.461538461538462
734;42.3;38.297872340425535
735;55.1;13.973799126637553
736;40.3;9.596662030598054
737;74.8;16.453794139744556
738;102.1;12.536082474226804
739;62.1;12.658227848101266
740;82.2;12.704918032786885
741;50.7;19.186046511627907
742;38.9;11.351351351351353
